"","X","Date","County","State","FREQUENCY"
"1",1,"3/1/2020 5:00","Alachua","Florida",0
"2",2,"3/1/2020 5:00","Baker","Florida",0
"3",3,"3/1/2020 5:00","Bay","Florida",0
"4",4,"3/1/2020 5:00","Bradford","Florida",0
"5",5,"3/1/2020 5:00","Brevard","Florida",0
"6",6,"3/1/2020 5:00","Broward","Florida",0
"7",7,"3/1/2020 5:00","Calhoun","Florida",0
"8",8,"3/1/2020 5:00","Charlotte","Florida",0
"9",9,"3/1/2020 5:00","Citrus","Florida",0
"10",10,"3/1/2020 5:00","Clay","Florida",0
"11",11,"3/1/2020 5:00","Collier","Florida",0
"12",12,"3/1/2020 5:00","Columbia","Florida",0
"13",13,"3/1/2020 5:00","Dade","Florida",0
"14",14,"3/1/2020 5:00","Desoto","Florida",0
"15",15,"3/1/2020 5:00","Dixie","Florida",0
"16",16,"3/1/2020 5:00","Duval","Florida",0
"17",17,"3/1/2020 5:00","Escambia","Florida",0
"18",18,"3/1/2020 5:00","Flagler","Florida",0
"19",19,"3/1/2020 5:00","Franklin","Florida",0
"20",20,"3/1/2020 5:00","Gadsden","Florida",0
"21",21,"3/1/2020 5:00","Gilchrist","Florida",0
"22",22,"3/1/2020 5:00","Glades","Florida",0
"23",23,"3/1/2020 5:00","Gulf","Florida",0
"24",24,"3/1/2020 5:00","Hamilton","Florida",0
"25",25,"3/1/2020 5:00","Hardee","Florida",0
"26",26,"3/1/2020 5:00","Hendry","Florida",0
"27",27,"3/1/2020 5:00","Hernando","Florida",0
"28",28,"3/1/2020 5:00","Highlands","Florida",0
"29",29,"3/1/2020 5:00","Hillsborough","Florida",0
"30",30,"3/1/2020 5:00","Holmes","Florida",0
"31",31,"3/1/2020 5:00","Indian River","Florida",0
"32",32,"3/1/2020 5:00","Jackson","Florida",0
"33",33,"3/1/2020 5:00","Jefferson","Florida",0
"34",34,"3/1/2020 5:00","Lafayette","Florida",0
"35",35,"3/1/2020 5:00","Lake","Florida",0
"36",36,"3/1/2020 5:00","Lee","Florida",0
"37",37,"3/1/2020 5:00","Leon","Florida",0
"38",38,"3/1/2020 5:00","Levy","Florida",0
"39",39,"3/1/2020 5:00","Liberty","Florida",0
"40",40,"3/1/2020 5:00","Madison","Florida",0
"41",41,"3/1/2020 5:00","Manatee","Florida",0
"42",42,"3/1/2020 5:00","Marion","Florida",0
"43",43,"3/1/2020 5:00","Martin","Florida",0
"44",44,"3/1/2020 5:00","Monroe","Florida",0
"45",45,"3/1/2020 5:00","Nassau","Florida",0
"46",46,"3/1/2020 5:00","Okaloosa","Florida",0
"47",47,"3/1/2020 5:00","Okeechobee","Florida",0
"48",48,"3/1/2020 5:00","Orange","Florida",0
"49",49,"3/1/2020 5:00","Osceola","Florida",0
"50",50,"3/1/2020 5:00","Palm Beach","Florida",0
"51",51,"3/1/2020 5:00","Pasco","Florida",0
"52",52,"3/1/2020 5:00","Pinellas","Florida",0
"53",53,"3/1/2020 5:00","Polk","Florida",0
"54",54,"3/1/2020 5:00","Putnam","Florida",0
"55",55,"3/1/2020 5:00","St. Johns","Florida",0
"56",56,"3/1/2020 5:00","St. Lucie","Florida",0
"57",57,"3/1/2020 5:00","Santa Rosa","Florida",0
"58",58,"3/1/2020 5:00","Sarasota","Florida",0
"59",59,"3/1/2020 5:00","Seminole","Florida",0
"60",60,"3/1/2020 5:00","Sumter","Florida",0
"61",61,"3/1/2020 5:00","Suwannee","Florida",0
"62",62,"3/1/2020 5:00","Taylor","Florida",0
"63",63,"3/1/2020 5:00","Union","Florida",0
"64",64,"3/1/2020 5:00","Volusia","Florida",0
"65",65,"3/1/2020 5:00","Wakulla","Florida",0
"66",66,"3/1/2020 5:00","Walton","Florida",0
"67",67,"3/1/2020 5:00","Washington","Florida",0
"68",68,"3/1/2020 5:00","Unknown","Florida",0
"69",69,"03/02/2020 5:00","Hillsborough","Florida",1
"70",70,"03/02/2020 5:00","Manatee","Florida",1
"71",71,"03/03/2020 5:00","Gadsden","Florida",1
"72",72,"03/04/2020 5:00","Dade","Florida",1
"73",73,"03/04/2020 5:00","Leon","Florida",1
"74",74,"03/04/2020 5:00","Okaloosa","Florida",1
"75",75,"03/04/2020 5:00","Palm Beach","Florida",1
"76",76,"03/05/2020 5:00","Santa Rosa","Florida",1
"77",77,"03/07/2020 5:00","Broward","Florida",2
"78",78,"03/07/2020 5:00","Lee","Florida",2
"79",79,"03/08/2020 5:00","Volusia","Florida",1
"80",80,"03/09/2020 5:00","Broward","Florida",1
"81",81,"03/09/2020 5:00","Charlotte","Florida",1
"82",82,"03/09/2020 5:00","Manatee","Florida",1
"83",83,"03/09/2020 5:00","Okaloosa","Florida",1
"84",84,"03/09/2020 5:00","Volusia","Florida",1
"85",85,"03/10/2020 5:00","Broward","Florida",1
"86",86,"03/10/2020 5:00","Nassau","Florida",1
"87",87,"03/11/2020 5:00","Collier","Florida",3
"88",88,"03/11/2020 5:00","Pasco","Florida",1
"89",89,"03/11/2020 5:00","Pinellas","Florida",2
"90",90,"03/12/2020 5:00","Broward","Florida",3
"91",91,"03/12/2020 5:00","Dade","Florida",1
"92",92,"03/12/2020 5:00","Seminole","Florida",1
"93",93,"03/13/2020 5:00","Alachua","Florida",1
"94",94,"03/13/2020 5:00","Broward","Florida",4
"95",95,"03/13/2020 5:00","Clay","Florida",1
"96",96,"03/13/2020 5:00","Dade","Florida",2
"97",97,"03/13/2020 5:00","Duval","Florida",1
"98",98,"03/13/2020 5:00","Hillsborough","Florida",1
"99",99,"03/13/2020 5:00","Lake","Florida",1
"100",100,"03/13/2020 5:00","Lee","Florida",1
"101",101,"03/13/2020 5:00","Orange","Florida",3
"102",102,"03/13/2020 5:00","Osceola","Florida",2
"103",103,"03/13/2020 5:00","Palm Beach","Florida",1
"104",104,"03/13/2020 5:00","Sarasota","Florida",1
"105",105,"03/13/2020 5:00","Volusia","Florida",1
"106",106,"03/14/2020 5:00","Broward","Florida",10
"107",107,"03/14/2020 5:00","Clay","Florida",2
"108",108,"03/14/2020 5:00","Dade","Florida",10
"109",109,"03/14/2020 5:00","Hillsborough","Florida",3
"110",110,"03/14/2020 5:00","Lee","Florida",1
"111",111,"03/14/2020 5:00","Manatee","Florida",2
"112",112,"03/14/2020 5:00","Osceola","Florida",1
"113",113,"03/14/2020 5:00","Palm Beach","Florida",3
"114",114,"03/14/2020 5:00","Pasco","Florida",1
"115",115,"03/14/2020 5:00","Seminole","Florida",3
"116",116,"03/14/2020 5:00","St. Johns","Florida",1
"117",117,"03/14/2020 5:00","Volusia","Florida",3
"118",118,"03/15/2020 5:00","Broward","Florida",15
"119",119,"03/15/2020 5:00","Citrus","Florida",1
"120",120,"03/15/2020 5:00","Collier","Florida",2
"121",121,"03/15/2020 5:00","Dade","Florida",7
"122",122,"03/15/2020 5:00","Duval","Florida",3
"123",123,"03/15/2020 5:00","Lee","Florida",1
"124",124,"03/15/2020 5:00","Orange","Florida",1
"125",125,"03/15/2020 5:00","Volusia","Florida",1
"126",126,"03/16/2020 5:00","Broward","Florida",6
"127",127,"03/16/2020 5:00","Collier","Florida",1
"128",128,"03/16/2020 5:00","Dade","Florida",4
"129",129,"03/16/2020 5:00","Duval","Florida",1
"130",130,"03/16/2020 5:00","Escambia","Florida",1
"131",131,"03/16/2020 5:00","Lee","Florida",1
"132",132,"03/16/2020 5:00","Manatee","Florida",1
"133",133,"03/16/2020 5:00","Orange","Florida",2
"134",134,"03/16/2020 5:00","Osceola","Florida",1
"135",135,"03/16/2020 5:00","Palm Beach","Florida",4
"136",136,"03/16/2020 5:00","Pinellas","Florida",2
"137",137,"03/16/2020 5:00","Sarasota","Florida",1
"138",138,"03/16/2020 5:00","St. Johns","Florida",1
"139",139,"03/16/2020 5:00","Volusia","Florida",1
"140",140,"03/17/2020 5:00","Alachua","Florida",2
"141",141,"03/17/2020 5:00","Brevard","Florida",1
"142",142,"03/17/2020 5:00","Broward","Florida",8
"143",143,"03/17/2020 5:00","Citrus","Florida",1
"144",144,"03/17/2020 5:00","Clay","Florida",1
"145",145,"03/17/2020 5:00","Collier","Florida",1
"146",146,"03/17/2020 5:00","Dade","Florida",24
"147",147,"03/17/2020 5:00","Duval","Florida",3
"148",148,"03/17/2020 5:00","Hillsborough","Florida",5
"149",149,"03/17/2020 5:00","Lake","Florida",1
"150",150,"03/17/2020 5:00","Lee","Florida",2
"151",151,"03/17/2020 5:00","Manatee","Florida",2
"152",152,"03/17/2020 5:00","Okaloosa","Florida",1
"153",153,"03/17/2020 5:00","Orange","Florida",1
"154",154,"03/17/2020 5:00","Osceola","Florida",2
"155",155,"03/17/2020 5:00","Palm Beach","Florida",3
"156",156,"03/17/2020 5:00","Pinellas","Florida",1
"157",157,"03/17/2020 5:00","Polk","Florida",1
"158",158,"03/17/2020 5:00","Seminole","Florida",1
"159",159,"03/17/2020 5:00","Volusia","Florida",1
"160",160,"03/18/2020 5:00","Alachua","Florida",3
"161",161,"03/18/2020 5:00","Brevard","Florida",1
"162",162,"03/18/2020 5:00","Broward","Florida",27
"163",163,"03/18/2020 5:00","Citrus","Florida",1
"164",164,"03/18/2020 5:00","Collier","Florida",4
"165",165,"03/18/2020 5:00","Dade","Florida",23
"166",166,"03/18/2020 5:00","Duval","Florida",3
"167",167,"03/18/2020 5:00","Hillsborough","Florida",2
"168",168,"03/18/2020 5:00","Lee","Florida",2
"169",169,"03/18/2020 5:00","Leon","Florida",2
"170",170,"03/18/2020 5:00","Manatee","Florida",1
"171",171,"03/18/2020 5:00","Okaloosa","Florida",1
"172",172,"03/18/2020 5:00","Orange","Florida",5
"173",173,"03/18/2020 5:00","Osceola","Florida",2
"174",174,"03/18/2020 5:00","Palm Beach","Florida",8
"175",175,"03/18/2020 5:00","Pasco","Florida",1
"176",176,"03/18/2020 5:00","Pinellas","Florida",7
"177",177,"03/18/2020 5:00","Polk","Florida",1
"178",178,"03/18/2020 5:00","Santa Rosa","Florida",1
"179",179,"03/18/2020 5:00","Seminole","Florida",2
"180",180,"03/18/2020 5:00","St. Johns","Florida",1
"181",181,"03/18/2020 5:00","Sumter","Florida",1
"182",182,"03/19/2020 5:00","Alachua","Florida",2
"183",183,"03/19/2020 5:00","Brevard","Florida",1
"184",184,"03/19/2020 5:00","Broward","Florida",13
"185",185,"03/19/2020 5:00","Collier","Florida",5
"186",186,"03/19/2020 5:00","Dade","Florida",18
"187",187,"03/19/2020 5:00","Duval","Florida",1
"188",188,"03/19/2020 5:00","Hernando","Florida",4
"189",189,"03/19/2020 5:00","Hillsborough","Florida",5
"190",190,"03/19/2020 5:00","Indian River","Florida",1
"191",191,"03/19/2020 5:00","Lake","Florida",1
"192",192,"03/19/2020 5:00","Lee","Florida",2
"193",193,"03/19/2020 5:00","Manatee","Florida",1
"194",194,"03/19/2020 5:00","Martin","Florida",1
"195",195,"03/19/2020 5:00","Okaloosa","Florida",1
"196",196,"03/19/2020 5:00","Orange","Florida",3
"197",197,"03/19/2020 5:00","Osceola","Florida",3
"198",198,"03/19/2020 5:00","Palm Beach","Florida",4
"199",199,"03/19/2020 5:00","Pasco","Florida",2
"200",200,"03/19/2020 5:00","Pinellas","Florida",4
"201",201,"03/19/2020 5:00","Polk","Florida",2
"202",202,"03/19/2020 5:00","Sarasota","Florida",1
"203",203,"03/19/2020 5:00","Sumter","Florida",1
"204",204,"03/20/2020 5:00","Alachua","Florida",5
"205",205,"03/20/2020 5:00","Baker","Florida",1
"206",206,"03/20/2020 5:00","Brevard","Florida",1
"207",207,"03/20/2020 5:00","Broward","Florida",31
"208",208,"03/20/2020 5:00","Charlotte","Florida",1
"209",209,"03/20/2020 5:00","Citrus","Florida",2
"210",210,"03/20/2020 5:00","Clay","Florida",1
"211",211,"03/20/2020 5:00","Collier","Florida",8
"212",212,"03/20/2020 5:00","Dade","Florida",21
"213",213,"03/20/2020 5:00","Duval","Florida",4
"214",214,"03/20/2020 5:00","Hillsborough","Florida",14
"215",215,"03/20/2020 5:00","Indian River","Florida",2
"216",216,"03/20/2020 5:00","Lee","Florida",1
"217",217,"03/20/2020 5:00","Manatee","Florida",1
"218",218,"03/20/2020 5:00","Monroe","Florida",1
"219",219,"03/20/2020 5:00","Okaloosa","Florida",4
"220",220,"03/20/2020 5:00","Orange","Florida",5
"221",221,"03/20/2020 5:00","Palm Beach","Florida",13
"222",222,"03/20/2020 5:00","Pasco","Florida",2
"223",223,"03/20/2020 5:00","Pinellas","Florida",4
"224",224,"03/20/2020 5:00","Polk","Florida",6
"225",225,"03/20/2020 5:00","Putnam","Florida",1
"226",226,"03/20/2020 5:00","Santa Rosa","Florida",1
"227",227,"03/20/2020 5:00","Sarasota","Florida",2
"228",228,"03/20/2020 5:00","Seminole","Florida",3
"229",229,"03/20/2020 5:00","St. Johns","Florida",4
